year,district,discode,total_salary,avg_salary,n_FTE,avgCPI,adjust97,adjust21
1997,Granville,1120000,559973,30938,18.1,164.7666667,30938.00626,52374.66042
1997,Greater Fall River Regional Vocational Technical,8210000,3861925,37677,102.5,164.7666667,37677.00762,63783.05258
1997,Greater Lawrence Regional Vocational Technical,8230000,6090687,45453,134,164.7666667,45453.0092,76946.97266
1997,Greater Lowell Regional Vocational Technical,8280000,7623797,48405,157.5,164.7666667,48405.00979,81944.38677
1997,Greater New Bedford Regional Vocational Technical,8250000,7560484,44213,171,164.7666667,44213.00894,74847.78788
1997,Greenfield,1140000,5896270,34241,172.2,164.7666667,34241.00693,57966.27926
1997,Groton-Dunstable,6730000,5408407,38576,140.2,164.7666667,38576.0078,65304.96155
1997,Hadley,1170000,1587468,37797,42,164.7666667,37797.00765,63986.1995
1997,Halifax,1180000,1659950,43341,38.3,164.7666667,43341.00877,73371.58696
1997,Hamilton-Wenham,6750000,6344858,35887,176.8,164.7666667,35887.00726,60752.77777
1997,Hampden-Wilbraham,6800000,9277118,40850,227.1,164.7666667,40850.00826,69154.59559
1997,Hampshire,6830000,2220404,37634,59,164.7666667,37634.00761,63710.25827
1997,Hancock,1210000,203895,22655,9,164.7666667,22655.00458,38352.44463
1997,Hanover,1220000,6925165,48091,144,164.7666667,48091.00973,81412.81901
1997,Harvard,1250000,2887472,43883,65.8,164.7666667,43883.00888,74289.13386
1997,Harwich,1260000,4596300,46710,98.4,164.7666667,46710.00945,79074.9366
1997,Hatfield,1270000,1250912,28174,44.4,164.7666667,28174.0057,47695.50982
1997,Haverhill,1280000,21532764,43066,500,164.7666667,43066.00871,72906.04195
1997,Hawlemont,6850000,457474,33392,13.7,164.7666667,33392.00676,56529.01483
1997,Hingham,1310000,10887944,48564,224.2,164.7666667,48564.00982,82213.55643
1997,Holbrook,1330000,3688848,44551,82.8,164.7666667,44551.00901,75419.98502
1997,Holland,1350000,724401,37149,19.5,164.7666667,37149.00752,62889.20616
1997,Holliston,1360000,7967919,38887,204.9,164.7666667,38887.00787,65831.45064
1997,Holyoke,1370000,23702932,38718,612.2,164.7666667,38718.00783,65545.35207
1997,Hopedale,1380000,3003978,41955,71.6,164.7666667,41955.00849,71025.2401
1997,Hopkinton,1390000,6335998,43131,146.9,164.7666667,43131.00873,73016.07986
1997,Hudson,1410000,7925557,43523,182.1,164.7666667,43523.0088,73679.69312
1997,Hull,1420000,4098598,40986,100,164.7666667,40986.00829,69384.82876
1997,Ipswich,1440000,5055952,42416,119.2,164.7666667,42416.00858,71805.66283
1997,King Philip,6900000,5023808,46006,109.2,164.7666667,46006.00931,77883.14136
1997,Kingston,1450000,2651249,41491,63.9,164.7666667,41491.00839,70239.73869
1997,Lakeville,1460000,1305479,40669,32.1,164.7666667,40669.00823,68848.18233
1997,Lanesborough,1480000,836321,39449,21.2,164.7666667,39449.00798,66782.85536
1997,Lawrence,1490000,31629895,40018,790.4,164.7666667,40018.0081,67746.11031
1997,Lee,1500000,2870866,41427,69.3,164.7666667,41427.00838,70131.39367
1997,Leicester,1510000,4194368,39570,106,164.7666667,39570.00801,66987.69516
1997,Lenox,1520000,2983859,46990,63.5,164.7666667,46990.00951,79548.94607
1997,Leominster,1530000,14359017,40505,354.5,164.7666667,40505.00819,68570.54821
1997,Leverett,1540000,532614,30610,17.4,164.7666667,30610.00619,51819.39219
1997,Lexington,1550000,21540991,54645,394.2,164.7666667,54645.01106,92508.02634
1997,Lincoln,1570000,2468376,43003,57.4,164.7666667,43003.0087,72799.38982
1997,Lincoln-Sudbury,6950000,4344464,50991,85.2,164.7666667,50991.01032,86322.20278
1997,Littleton,1580000,3608798,39657,91,164.7666667,39657.00802,67134.97668
1997,Longmeadow,1590000,9455907,41041,230.4,164.7666667,41041.0083,69477.93776
1997,Lowell,1600000,46871043,44605,1050.8,164.7666667,44605.00902,75511.40113
1997,Ludlow,1610000,7300044,39038,187,164.7666667,39038.0079,66087.07718
1997,Lunenburg,1620000,4307114,42857,100.5,164.7666667,42857.00867,72552.22774
1997,Lynn,1630000,40014204,43636,917,164.7666667,43636.00883,73870.9898
1997,Lynnfield,1640000,5800128,47738,121.5,164.7666667,47738.00966,80815.2285
1997,Malden,1650000,17432851,44404,392.6,164.7666667,44404.00898,75171.13005
1997,Manchester,1660000,3218551,49289,65.3,164.7666667,49289.00997,83440.90238
1997,Mansfield,1670000,10140145,40626,249.6,164.7666667,40626.00822,68775.38802
1997,Marblehead,1680000,9013455,45987,196,164.7666667,45987.0093,77850.97644
1997,Marion,1690000,1421460,45414,31.3,164.7666667,45414.00919,76880.94992
1997,Marlborough,1700000,14109110,48072,293.5,164.7666667,48072.00973,81380.65408
1997,Marshfield,1710000,13145659,45661,287.9,164.7666667,45661.00924,77299.09398
1997,Marthas Vineyard,7000000,2478302,43479,57,164.7666667,43479.0088,73605.20592
1997,Masconomet,7050000,4177838,41904,99.7,164.7666667,41904.00848,70938.90266
1997,Mashpee,1720000,3944992,37607,104.9,164.7666667,37607.00761,63664.55022
1997,Mattapoisett,1730000,1617885,40047,40.4,164.7666667,40047.0081,67795.20415
1997,Maynard,1740000,4088977,37173,110,164.7666667,37173.00752,62929.83554
1997,Medfield,1750000,6944121,45655,152.1,164.7666667,45655.00924,77288.93664
1997,Medford,1760000,18871160,42637,442.6,164.7666667,42637.00863,72179.79173
1997,Medway,1770000,6603021,46863,140.9,164.7666667,46863.00948,79333.94891
1997,Melrose,1780000,10565912,44451,237.7,164.7666667,44451.00899,75250.69593
1997,Mendon-Upton,7100000,4068739,40606,100.2,164.7666667,40606.00821,68741.5302
1997,Methuen,1810000,14713436,38247,384.7,164.7666667,38247.00774,64748.00043
1997,Middleborough,1820000,8496817,42957,197.8,164.7666667,42957.00869,72721.51684
1997,Middleton,1840000,1494211,39529,37.8,164.7666667,39529.008,66918.28664
1997,Milford,1850000,12725059,44138,288.3,164.7666667,44138.00893,74720.82106
1997,Millbury,1860000,5053461,47317,106.8,164.7666667,47317.00957,80102.52141
1997,Millis,1870000,3438276,46843,73.4,164.7666667,46843.00948,79300.09109
1997,Milton,1890000,10259345,41892,244.9,164.7666667,41892.00848,70918.58797
1997,Minuteman Regional Vocational Technical,8300000,5146919,41341,124.5,164.7666667,41341.00836,69985.80505
1997,Mohawk Trail,7170000,4865822,35963,135.3,164.7666667,35963.00728,60881.43748
1997,Monson,1910000,3420192,40717,84,164.7666667,40717.00824,68929.44109
1997,Montachusett Regional Vocational Technical,8320000,4067981,46070,88.3,164.7666667,46070.00932,77991.48638
1997,Mount Greylock,7150000,2546596,48973,52,164.7666667,48973.00991,82905.94883
1997,Nahant,1960000,737310,41656,17.7,164.7666667,41656.00843,70519.0657
1997,Nantucket,1970000,4866640,31317,155.4,164.7666667,31317.00634,53016.2661
1997,Narragansett,7200000,3482979,34830,100,164.7666667,34830.00705,58963.39203
1997,Nashoba,7250000,9594237,43970,218.2,164.7666667,43970.0089,74436.41538
1997,Nashoba Valley Regional Vocational Technical,8520000,2041215,37730,54.1,164.7666667,37730.00763,63872.7758
1997,Natick,1980000,13559512,46612,290.9,164.7666667,46612.00943,78909.03328
1997,Nauset,6600000,5509184,40869,134.8,164.7666667,40869.00827,69186.76052
1997,Needham,1990000,13561347,47584,285,164.7666667,47584.00963,80554.52329
1997,New Bedford,2010000,41194258,44486,926,164.7666667,44486.009,75309.94711
1997,New Salem-Wendell,7280000,462980,32835,14.1,164.7666667,32835.00664,55586.07457
1997,Newburyport,2040000,7726621,41496,186.2,164.7666667,41496.00839,70248.20315
1997,Newton,2070000,37511009,49227,762,164.7666667,49227.00996,83335.94314
1997,Norfolk,2080000,2775390,44837,61.9,164.7666667,44837.00907,75904.15183
1997,Norfolk County Agricultural,9150000,1691415,40954,41.3,164.7666667,40954.00829,69330.65625
1997,North Adams,2090000,6398422,37418,171,164.7666667,37418.00757,63344.59383
1997,North Andover,2110000,10196599,44314,230.1,164.7666667,44314.00897,75018.76986
1997,North Attleborough,2120000,10237773,37501,273,164.7666667,37501.00759,63485.10378
1997,North Brookfield,2150000,2394103,37176,64.4,164.7666667,37176.00752,62934.91421
1997,North Middlesex,7350000,11671488,38840,300.5,164.7666667,38840.00786,65751.88477
1997,North Reading,2170000,5716840,46066,124.1,164.7666667,46066.00932,77984.71482
1997,North Shore,8540000,1720713,32775,52.5,164.7666667,32775.00663,55484.50111
1997,Northampton,2100000,8117933,29413,276,164.7666667,29413.00595,49793.00172
1997,Northampton-Smith Vocational Agricultural,4060000,2070112,43399,47.7,164.7666667,43399.00878,73469.77464
1997,Northboro-Southboro,7300000,3135135,49372,63.5,164.7666667,49372.00999,83581.41232
1997,Northborough,2130000,5267285,47029,112,164.7666667,47029.00951,79614.96881
1997,Northbridge,2140000,5788676,42626,135.8,164.7666667,42626.00862,72161.16993
1997,Northeast Metropolitan Regional Vocational Technical,8530000,5217315,48760,107,164.7666667,48760.00986,82545.36306
1997,Northern Berkshire Regional Vocational Technical,8510000,1707726,36568,46.7,164.7666667,36568.0074,61905.63651
1997,Norton,2180000,6205368,40295,154,164.7666667,40295.00815,68215.04111
1997,Norwell,2190000,6501004,53772,120.9,164.7666667,53772.01088,91030.13253
1997,Norwood,2200000,10785103,43771,246.4,164.7666667,43771.00886,74099.53007
1997,Oak Bluffs,2210000,1448190,43230,33.5,164.7666667,43230.00875,73183.67607
1997,Old Colony Regional Vocational Technical,8550000,1978864,39185,50.5,164.7666667,39185.00793,66335.93215
1997,Old Rochester,7400000,3312995,41937,79,164.7666667,41937.00848,70994.76806
1997,Orange,2230000,2174433,33976,64,164.7666667,33976.00687,57517.66315
1997,Orleans,2240000,1118299,41266,27.1,164.7666667,41266.00835,69858.83823
1997,Oxford,2260000,5065526,42567,119,164.7666667,42567.00861,72061.28936
1997,Palmer,2270000,4686723,36615,128,164.7666667,36615.00741,61985.20239
1997,Pathfinder Regional Vocational Technical,8600000,3125737,41956,74.5,164.7666667,41956.00849,71026.93299
1997,Peabody,2290000,16105109,39697,405.7,164.7666667,39697.00803,67202.69232
1997,Pelham,2300000,398079,41467,9.6,164.7666667,41467.00839,70199.10931
1997,Pembroke,2310000,4774190,46217,103.3,164.7666667,46217.00935,78240.34136
1997,Pentucket,7450000,8187336,34633,236.4,164.7666667,34633.00701,58629.89251
1997,Petersham,2340000,186536,24544,7.6,164.7666667,24544.00497,41550.31565
1997,Pioneer Valley,7500000,2757313,31369,87.9,164.7666667,31369.00635,53104.29643
1997,Pittsfield,2360000,19959287,40625,491.3,164.7666667,40625.00822,68773.69512
1997,Plainville,2380000,1641479,42089,39,164.7666667,42089.00851,71252.08749
1997,Plymouth,2390000,26123136,44670,584.8,164.7666667,44670.00904,75621.43905
1997,Plympton,2400000,742166,41004,18.1,164.7666667,41004.0083,69415.3008
1997,Provincetown,2420000,1757865,31616,55.6,164.7666667,31616.0064,53522.44049
1997,Quabbin,7530000,7247231,40487,179,164.7666667,40487.00819,68540.07617
1997,Quaboag Regional,7780000,3851733,36337,106,164.7666667,36337.00735,61514.5787
1997,Quincy,2430000,26400470,45518,580,164.7666667,45518.00921,77057.01058
1997,Ralph C Mahar,7550000,2312449,38996,59.3,164.7666667,38996.00789,66015.97576
1997,Randolph,2440000,11149901,41635,267.8,164.7666667,41635.00842,70483.51499
1997,Reading,2460000,11827492,45057,262.5,164.7666667,45057.00912,76276.58785
1997,Revere,2480000,15496765,45713,339,164.7666667,45713.00925,77387.12431
1997,Richmond,2490000,688053,37394,18.4,164.7666667,37394.00757,63303.96444
1997,Rochester,2500000,1278106,44379,28.8,164.7666667,44379.00898,75128.80778
1997,Rockland,2510000,7150734,45315,157.8,164.7666667,45315.00917,76713.35371
1997,Rockport,2520000,3197397,39868,80.2,164.7666667,39868.00807,67492.17667
1997,Rowe,2530000,144294,18739,7.7,164.7666667,18739.00379,31723.08364
1997,Salem,2580000,13911548,40892,340.2,164.7666667,40892.00827,69225.69701
1997,Sandwich,2610000,9851657,43380,227.1,164.7666667,43380.00878,73437.60971
1997,Saugus,2620000,9842854,40093,245.5,164.7666667,40093.00811,67873.07714
